project_name,address,status,total_units,lon,lat,meal_sites_score,meal_sites_nearest,meal_sites_walk_mi,gardens_score,gardens_nearest,gardens_walk_mi,markets_score,markets_nearest,markets_walk_mi,walkability_total,walkability_label
St. Maron Hall,921-31 ELLSWORTH ST,Complete,64,-75.159389,39.935433,3,South Philly Community Fridge at the People's Kitchen,0.087,3,Capitolo Community Garden,0.095,2.5,East Passyunk Farmers' Market,0.376,8.5,Excellent
Homestart,2618 SEYBERT ST,Complete,4,-75.178997,39.976101,2.5,Mighty Writers North,0.36,3,Brewerytown Garden,0.099,3,Brewerytown Garden Farm Stand,0.108,8.5,Excellent
HELP Philadelphia VI,2300-52 JEFFERSON ST,Complete,55,-75.173144,39.977754,3,Mighty Writers North,0.096,2.5,Brewerytown Garden,0.428,3,Sanctuary Farm Phila,0.247,8.5,Excellent
Brewerytown Homestart,1343 N 28TH ST,Complete,4,-75.181075,39.977092,2.5,Brewerytown Sharswood Coalition,0.328,3,Brewerytown Garden,0.084,3,Brewerytown Garden Farm Stand,0.085,8.5,Excellent
Mt. Tabor Senior Cyber Village,973 N 7TH ST,Complete,56,-75.148049,39.969613,3,Friends Rehabilitation Program,0.063,3,FNC Community Learning Farm at 8th and Poplar,0.247,2,Northern Liberties Farmers Market ,0.591,8,Excellent
Mid City Y Apartments,2025-29 CHESTNUT ST,Complete,53,-75.173992,39.952144,3,"Church of the Holy Trinity, Open Hearts Cafe",0.162,2,Schuylkill River Park Community Garden,0.635,3,Rittenhouse Farmers' Market,0.207,8,Excellent
Kate's Place,1929 SANSOM STREET,Complete,144,-75.173379,39.951435,3,"Church of the Holy Trinity, Open Hearts Cafe",0.108,2,Schuylkill River Park Community Garden,0.583,3,Rittenhouse Farmers' Market,0.153,8,Excellent
Brewerytown Homestart,1423 N 30TH ST,Complete,5,-75.184128,39.978308,3,Brewerytown Sharswood Coalition,0.156,2.5,Brewerytown Garden,0.258,2.5,Brewerytown Garden Farm Stand,0.259,8,Excellent
Sharswood II,2100-42 JEFFERSON ST,Complete,60,-75.169968,39.977326,3,King Older Adult Center,0.188,2,Brewerytown Garden,0.596,3,Sanctuary Farm Phila,0.196,8,Excellent
Horizon House I,246 S 12TH ST,Complete,9,-75.161172,39.947252,3,Philadelphia FIGHT,0.099,3,Sartain Community Garden,0.065,2,Rittenhouse Farmers' Market,0.691,8,Excellent
Sharswood Phase II,2401-55 STEWART ST,Complete,59,-75.174842,39.977619,3,Mighty Writers North,0.155,2.5,Brewerytown Garden,0.326,2.5,Brewerytown Garden Farm Stand,0.336,8,Excellent
John Anderson/William Way Senior,249-57 S 13TH ST,Complete,56,-75.162496,39.947281,3,Philadelphia FIGHT,0.091,3,Sartain Community Garden,0.16,2,Rittenhouse Farmers' Market,0.651,8,Excellent
Haven Peniel Senior 202,1615 N 23RD ST,Complete,55,-75.172224,39.979781,3,King Older Adult Center,0.177,2,Brewerytown Garden,0.574,3,Sanctuary Farm Phila,0.113,8,Excellent
Brewerytown Homestart,1728 N 28TH ST,Complete,11,-75.180347,39.982283,3,Gideon School,0.147,2.5,Brewerytown Garden,0.451,2.5,Brewerytown Garden Farm Stand,0.453,8,Excellent
Lillia Crippen Townhouses II,1826-46 N 6TH ST,Complete,20,-75.156023,39.925538,3,South Philly Community Fridge at BOK Building,0.204,2.5,Growing Homes Community Garden,0.311,2.5,Dickinson Square Farmers' Market ,0.373,8,Excellent
Youthbuild,1523 S HICKS ST,Complete,2,-75.170337,39.931468,3,Mount Hebron Baptist Church,0.242,2.5,South Philadelphia Older Adult Center Garden,0.469,2.5,East Passyunk Farmers' Market,0.437,8,Excellent
8th and Berks Senior Living,1821-61 N 8TH ST,Complete,44,-75.159058,39.926098,3,South Philly Community Fridge at BOK Building,0.044,3,Growing Homes Community Garden,0.151,2,East Passyunk Farmers' Market,0.525,8,Excellent
WCRP Berks Street,1826-1846 N 6TH ST,Complete,26,-75.156023,39.925538,3,South Philly Community Fridge at BOK Building,0.204,2.5,Growing Homes Community Garden,0.311,2.5,Dickinson Square Farmers' Market ,0.373,8,Excellent
Casa Farnese 202,1300-28 LOMBARD ST,Complete,288,-75.163176,39.944395,3,Philadelphia Senior Center - Avenue of the Arts and Asia-Pacific Senior Resource Center,0.14,3,Waverly Street Community Garden,0.191,1.5,Rittenhouse Farmers' Market,0.834,7.5,Excellent
Sartain Apartments,3017-45 W OXFORD ST,Complete,35,-75.184458,39.980702,2.5,Gideon School,0.334,2.5,Brewerytown Garden,0.484,2.5,Brewerytown Garden Farm Stand,0.486,7.5,Excellent
